symbol_6502,address,source_line,js_symbol,status,subsystem,notes
GameInitialise,&3000,4903,runtimeGameEntry,host-replaced,startup,BBC vector/VIA/MOS installation is replaced by browser initialisation; Frak-visible title/state entry is preserved.
RuntimeGameEntry,&0380,873,runtimeGameEntry,translated-semantic,title,"Original cast/credits entry, five cast sprites and timeout into attract flow."
TitleStartSequence,&1977,3584,titleStartSequence/titleTick,translated-semantic,title,125 random sprite draws followed by the recovered left/right/final transition phases and timed attract loop.
TransitionFromLeft,&1904,3502,beginTitleTransitionLeft,translated-semantic,title,"Original slot 0, X=0, DX=+1, Y=&52, sequence index 1 and 31-frame setup."
TransitionFromRight,&18F9,3495,beginTitleTransitionRight,translated-semantic,title,"Original slot 1, X=&50, DX=-1, Y=&52, sequence index 6 and 31-frame setup."
RunTransitionAnimation,&1922,3519,advanceTitleTransitionFrame,translated-semantic,title,"Four-tick frame cadence, shared sprite-sequence delimiter logic and 31-frame movement retained."
ShowHighScores,&1A52,3644,showHighScores,translated-semantic,title,"Original six row positions, PrintPackedBCD leading-zero suppression, and generated parenthesised three-character suffixes."
PrintPseudoRandomTitleChar,&1AF9,3738,titlePseudoRandomChars,translated,title,6502 ADC/SBC/carry reduction over duplicated score bytes and original 36-character map.
PollAttractInput,&1AD7,3716,startFromTitle,translated-semantic,input,SPACE/RETURN start path retained; browser keyboard replaces BBC negative-INKEY/joystick scan.
GameStartTitleLoop,&0B4C,1303,gameStartTitleLoop/titleTick,translated-semantic,title,Initial cast timeout then repeated attract sequences without incorrectly replaying the cast screen.
NewGame,&0B5A,1312,newGame,translated,game,"Lives, score, base screen and transform reset preserved."
StartScreen,&0B6A,1326,startScreen,translated-semantic,game,A/B/C level/timer/object/hazard initialisation plus original A/B/C tune selection.
MainGameFrame,&0BC7,1376,parityTick,translated-semantic,game,"50 Hz host runs player, hazards, death/restart, completion and game-over/high-score transitions."
TimerAndKeys,&0C2C,1439,parityTick/key handlers,translated-semantic,game,"Countdown plus Q/S mute, freeze/continue and Escape-to-title browser equivalents; muted tunes keep advancing."
ScreenComplete,&18CC,3474,beginScreenComplete/screenCompleteTick,translated-semantic,game,"60-frame/four-tick Trogg transition cadence, remaining-time BCD bonus and A/B/C→transform progression; BBC text/tune/raster details omitted."
ClearObjectTables,&0DDB,1733,clearObjectTables,translated,objects,123 sprite slots plus 23 DX/DY slots; DY reset to original &FF.
LoadLevelStream,&17B8,3283,loadLevelStream,translated,levels,"Original tagged stream grammar, theme maps and fixed queue ranges."
CountObjectsOfType,&1B7E,3775,countObjectsOfType,translated,objects,Original fixed queue ranges.
FindFreeSlot,&1C97,3966,findFreeSlot,translated,objects,Finds first &FF object slot in selected fixed queue.
TypeDispatch,&12D1,2521,collectObject/updateDynamicQueue,translated-partial,objects,Collectible and dynamic-hazard behaviours are live; full table dispatch is not yet exhaustive.
SpawnHazard,&1BA2,3813,spawnHazard,translated-semantic,objects,Original 1-in-4 dagger / 3-in-4 balloon choice and reload structure; browser tick substitutes for VIA entropy.
UpdateDynamicQueue,&1BFB,3866,updateDynamicQueue,translated-semantic,objects,"Balloon/dagger delay, motion and despawn lifecycle."
UpdatePlayerFrame,&11AC,2341,updatePlayerFrame,translated-semantic,player,Original motion→scroll→commit→collectible/hazard order; BBC raster/erase plumbing omitted.
UpdatePlayerMotion,&0FEB,2070,updatePlayerMotion,translated-semantic,player,"Ground walking, animation, jump-history and climb/air/yo-yo dispatch translated."
UpdateAirbornePlayer,&10DE,2215,updateAirbornePlayer,translated-semantic,player,"Velocity, gravity, top boundary, ladder attempt, floor landing and fatal-fall threshold."
UpdateClimbingPlayer,&113B,2267,updateClimbingPlayer,translated-semantic,player,Ladder attachment/movement/correction/floor detach represented semantically.
UpdateYoyoAttack,&0E8F,1884,updateYoyoAttack/continueYoyoAttack,translated-semantic,player,"Original slots 1/2, head/string phases, two-X-step extension, RETURN hold window, retraction, collision and five-tick monster knockback."
TryAttachLadder,&0E2F,1816,tryAttachLadder,translated-semantic,player,Ladder probe and attach state represented; side-relation bit trick expressed as geometry.
StartPlayerJump,&10CB,2202,startPlayerJump,translated,player,"Initial DY=5, airborne flag and directional jump frame selection."
ReadHorizontal,&12F9,2556,readHorizontal,host-replaced,input,Original Z/X meanings retained; arrows are optional aliases.
ReadVertical,&131D,2586,readVertical,host-replaced,input,Original */? meanings and transform-direction reversal retained; arrows are aliases; browser host latches brief vertical taps until the next 4-tick player sample.
ReadYoyoControl,&1359,2632,readYoyoControl,host-replaced,input,Original RETURN retained; Space is an optional browser alias.
TestPlayerMove,&1085,2161,testPlayerMove,translated-semantic,collision,Original proposed-X / swept vertical floor probe and fast-fall branch represented.
TestFloorCollision,&0E5F,1848,testFloorCollision,translated,collision,One-logical-X-wide floor probe.
TestLadderCollision,&0E0B,1792,testLadderCollision,translated,collision,Narrow ladder probe using documented vertical geometry.
CollisionScan,&1472,2837,collisionScan,translated-semantic,collision,Queue-mask filtering plus recursive primitive-vs-primitive bounds.
ScanObjectCollisions,&1CBD,3996,scanObjectCollisions,translated-semantic,collision,CollisionScan wrapper contract.
ComputePrimitiveBounds,&1592,2975,primitiveBoundsForSprite,translated,collision,Descriptor offsets/width/height become primitive bounds.
ProcessSprite,&1CDF,4013,spriteTraversal,translated-semantic,graphics,Draw path translated; collision modes are represented by bounds traversal rather than 6502 renderer modes.
SpriteTraversal,&1D44,4084,spriteTraversal,translated,graphics,Original recursive primitive/composite descriptor traversal.
DirectSpriteRenderer,&1E36,4263,directSpriteRenderer,translated,graphics,"Original MODE 1 bitmap bytes, column-major rows and descriptor/transform reversal; Stage 2 fixes Stage 1 upside-down rows."
SpriteRenderSetup,,4321,directSpriteRenderer,host-replaced,graphics,Self-modifying eight-JSR pixel stub replaced by direct Canvas pixel result.
Mode1Address,&1FA9,4525,putLogicalPixel,host-replaced,graphics,BBC circular framebuffer address calculation replaced by logical Canvas placement.
DrawSpriteAt,,1286,drawSpriteAt,translated,graphics,Same sprite/X/Y contract.
DrawAllObjects,&13FF,2744,drawAllObjects,translated,graphics,Original slot 122→0 order.
